BAD DATA!
Station/Turnstile, Last Turnstile Count of Day, First Turnstile Count of Day
LEXINGTON-53 ST01-03-04,335325424,335327946
JAMAICA-179 ST01-03-02,1291605764,1291605999
FLATBUSH AVE01-00-01,1508995049,1508995644
149 ST-3 AVE01-00-02,1946114403,1946117726
42 ST-PA BUS TE00-00-04,50024469,50028421
125 ST00-00-00,1694200932,1694203314
57 ST-7 AVE01-00-05,1224508094,1224510393
42 ST-PA BUS TE00-00-05,1560003926,1560006996
34 ST-HERALD SQ01-03-02,1558750065,1558753323
125 ST00-00-03,2012333828,2012336352
FRANKLIN AVE00-00-00,267980790,267984664
57 ST-7 AVE01-00-04,1895671587,1895673309
42 ST-PA BUS TE00-00-04,50033185,50034655
42 ST-PA BUS TE00-00-04,50035163,50036959
BEDFORD AVE00-06-03,837261852,837263381
JAMAICA-179 ST01-03-02,1291604240,1291604684
104 ST00-00-02,2026251598,2026251996
125 ST00-00-03,2012306825,2012311470
FLATBUSH AVE01-00-01,1508992587,1508994513
57 ST-7 AVE01-00-00,888931606,888932842
59 ST-COLUMBUS00-06-00,417595339,417595800
BROOKLYN BRIDGE00-03-04,1861330332,1861332957
104 ST00-00-02,2026252013,2026252427
57 ST-7 AVE01-00-00,888922638,888925210
42 ST-PA BUS TE00-00-08,419135569,419136876
14 ST00-00-00,1229226115,1229227934
161 ST-YANKEE00-00-01,1401944082,1401945727
57 ST-7 AVE01-00-00,888916480,888918883
FRANKLIN AVE00-00-00,267984977,267988790
42 ST-PA BUS TE00-00-08,419131401,419135335
FRANKLIN AVE00-00-00,267992018,267994995
FLATBUSH AVE01-00-01,1508986408,1508988380
42 ST-PA BUS TE00-00-05,1560016985,1560017914
161 ST-YANKEE00-00-01,1401954586,1401955643
42 ST-PA BUS TE00-00-08,419137270,419138732
125 ST00-00-03,2012326486,2012330870
LEXINGTON-53 ST01-03-04,335333394,335334101
23 ST-6 AVE00-00-02,1827875573,1827877974
42 ST-PA BUS TE00-00-04,50028802,50032825
104 ST00-00-02,2026252886,2026253282
LEXINGTON-53 ST01-03-04,335319853,335322157
PAVONIA/NEWPORT00-00-05,2,13
42 ST-PA BUS TE00-00-08,419126996,419131109
EUCLID AVE00-00-02,1495205268,1495206767
57 ST-7 AVE01-00-05,1224510846,1224513102
BEDFORD AVE00-06-03,837260255,837261720
174 ST00-00-02,5067027,5067029
149 ST-3 AVE01-00-02,1946111341,1946114166
LEXINGTON AVE00-00-01,1761292413,1761295702
